,positive,neutral,positive_standard,neutral_standard
0,55.0884574877,64.1709625128,0.529696706612,0.6170284857
1,37.7264504372,46.7715476055,0.53894929196,0.668164965793
2,56.0532257094,72.0449090679,0.519011349161,0.667082491369
3,60.1074969103,78.5431285535,0.522673886177,0.682983726553
4,58.0296973892,74.4430131704,0.518122298118,0.66466976045
5,54.7297059448,69.84675567,0.521235294712,0.665207196857
6,58.0049047804,74.4069634383,0.527317316185,0.676426940348
7,67.4391164092,79.9779589632,0.514802415338,0.610518770712
8,59.5436034899,78.0614609166,0.500366415881,0.655978663165
9,58.9022705239,79.0304740936,0.507778194172,0.681297190462
10,45.9902614132,57.5488285775,0.528623694405,0.661480788248
11,49.7079078041,61.8709902142,0.534493632302,0.665279464668
