,positive,neutral,positive_standard,neutral_standard
0,36.3802251713,48.9174222048,0.505280905157,0.679408641734
1,33.9203486014,45.6891870324,0.513944675778,0.692260409581
2,43.8211903442,54.6752354572,0.515543415814,0.643238064203
3,39.9256234469,53.0100671764,0.511866967268,0.679616245851
4,47.5228271775,60.4640292272,0.50556199125,0.643234353481
5,37.2383042776,49.6551568076,0.503220328075,0.671015632535
6,42.7655436481,55.3248038956,0.515247513832,0.666563902357
7,35.6820228593,42.8223732202,0.509743183704,0.611748188861
8,52.7814720052,71.5240336957,0.502680685764,0.681181273293
9,47.305027166,60.2227986984,0.497947654379,0.633924196825
10,37.0195800457,46.3480790207,0.507117534873,0.634905192064
11,44.474923423,57.9756209612,0.499718240708,0.651411471474
