,positive,neutral,positive_standard,neutral_standard
0,55.8411772547,73.5339173945,0.494169710219,0.65074263181
1,48.6093284261,63.0988486705,0.506347171106,0.657279673651
2,45.3167177788,61.2920230451,0.497985909657,0.673538714781
3,37.2680767409,51.4186839436,0.496907689879,0.685582452582
4,43.3105997868,59.5428518458,0.497822986056,0.684400595929
5,43.0485379943,54.3343680231,0.518657084269,0.654630940037
6,36.6739077717,49.2755538995,0.502382298242,0.675007587664
7,33.3056766841,45.6294227883,0.497099652001,0.681036161019
8,32.0510751061,42.3795763371,0.493093463171,0.651993482109
9,33.0499466499,42.354557395,0.50846071769,0.651608575308
10,33.659562554,44.5952869188,0.50999337203,0.675686165436
11,30.9415085618,41.8749346805,0.515691809363,0.697915578008
