,positive,neutral,positive_standard,neutral_standard
0,60.4761654415,73.772414722,0.539965762871,0.658682274304
1,31.553157837,40.7423667026,0.52588596395,0.679039445044
2,47.5853619367,55.5329282512,0.522916065238,0.610251958805
3,48.2832646626,61.9193984161,0.519174888845,0.665799982969
4,40.9822769493,50.670242894,0.505954036411,0.625558554247
5,39.7281583359,46.633512227,0.522738925473,0.613598845092
6,36.5239838333,46.5830727383,0.529333099033,0.675116996208
7,30.3474514732,38.8160614551,0.497499204479,0.636328876313
8,37.6506390216,49.3563561984,0.537866271737,0.705090802834
9,47.6056364123,56.4063736645,0.534894791149,0.633779479377
10,44.2585480976,50.5759769532,0.55323185122,0.632199711915
11,53.4438098793,67.3726099931,0.523958920385,0.660515784246
