,positive,neutral,positive_standard,neutral_standard
0,32.4418574519,40.2574161071,0.53183372872,0.6599576411
1,35.9666571155,46.9622406832,0.513809387364,0.670889152618
2,38.6389833956,49.9580112041,0.489101055641,0.632379888659
3,32.4247305135,41.6612625613,0.531552959238,0.682971517399
4,26.9201688971,31.9299870365,0.538403377941,0.638599740729
5,28.1443269714,37.2076033473,0.531025037197,0.702030251835
6,37.9480127507,48.0711567151,0.527055732649,0.667654954376
7,30.7584963276,39.412019087,0.52133044623,0.668000323508
8,30.8702360741,42.3661144388,0.506069443838,0.69452646621
9,24.832065023,30.6182291826,0.528341809001,0.651451684737
10,26.2087464242,33.0833226497,0.51389698871,0.648692600974
11,39.4877324012,50.0064939322,0.506252979503,0.641108896566
