,positive,neutral,positive_standard,neutral_standard
0,85.2528270974,104.859392999,0.529520665201,0.651300577636
1,62.1025366954,77.4640559025,0.55448693478,0.691643356272
2,71.5406766522,86.8359793322,0.529930938164,0.643229476535
3,57.6192198225,74.2437648143,0.554030959832,0.713882353984
4,66.1883752364,84.3620255214,0.542527665873,0.691492012471
5,65.9687928173,87.2911887836,0.527750342538,0.698329510269
6,79.9659970975,97.9503450873,0.536684544278,0.657384866357
7,86.769772697,100.321261132,0.532329893846,0.615467859705
8,85.5427339202,111.291845798,0.515317674218,0.670432806013
9,48.7762036383,64.1490653097,0.508085454566,0.668219430309
10,36.9076941056,48.4230772729,0.519826677544,0.682015172858
11,58.1208883833,71.5706994172,0.50539902942,0.622353907976
