,count,neutral,pos
0,201,132.579804345,101.60774181
1,105,69.2239132599,53.7243460879
2,145,97.8335092399,72.9347460257
3,199,127.02693674,102.358521107
4,142,91.4460615887,72.3051569135
5,107,68.6017122765,55.2626930707
6,135,87.4767762695,67.0560366974
7,121,78.4724320482,63.5621988242
8,303,201.809832256,151.182576299
9,318,209.782811473,164.361931219
10,236,157.254878662,121.694435869
11,149,98.4803792945,74.2633827624
