,positive,neutral,positive_standard,neutral_standard
0,41.828257701,50.594142494,0.529471616469,0.640432183469
1,21.5501345067,24.875625012,0.538753362668,0.621890625299
2,37.5851395423,46.0002506177,0.522015826977,0.638892369691
3,33.2064465744,40.0215272047,0.510868408837,0.61571580315
4,29.3732948718,37.7182320116,0.48955491453,0.628637200194
5,16.1513969465,17.6844610521,0.521012804725,0.57046648555
6,32.6711853615,39.6093574795,0.526954602605,0.638860604508
7,35.2678889205,43.7198469916,0.534361953341,0.662421924115
8,11.3532041971,13.6990624337,0.54062877129,0.652336306365
9,31.5479151006,39.854533743,0.52579858501,0.66424222905
10,28.0362627825,37.6671474189,0.519190051528,0.697539767016
11,39.1335738432,47.6009709857,0.528832078962,0.643256364672
