,pos,neutral,count
0,37.3590615921,47.8049347879,71
1,44.3471233911,55.481601226,86
2,43.1332401293,59.4345219713,87
3,46.8864394813,58.6414753228,92
4,54.5687735857,71.0273023231,104
5,46.1159408065,62.7341094383,91
6,48.3016019376,66.2012011078,99
7,41.5007744192,57.4819302526,86
8,55.084347586,70.8011839329,106
9,48.8168208742,59.4099976872,92
10,47.019164542,59.679976267,90
11,52.6702262098,69.950018259,103
