,pos,neutral,count
0,58.7175846346,78.4210872546,115
1,37.2614744211,51.2823900318,72
2,51.5884543066,69.9423471389,100
3,50.9315368415,65.1296008257,99
4,60.4996860471,76.283200839,118
5,61.3411790807,83.9060912492,117
6,55.2474171504,71.8629734518,105
7,68.2695550071,88.7965257016,133
8,59.0229720452,78.5470086341,115
9,51.4263099993,67.4637533727,100
10,59.1766591967,77.4524128659,119
11,54.2455979315,74.7021310656,105
