,positive,neutral,positive_standard,neutral_standard
0,46.72550885,61.3559166,0.48672405,0.639124131
1,44.73586716,54.2289443,0.502650193,0.609313981
2,42.50418404,52.0143448,0.500049224,0.611933468
3,33.44454941,44.54731225,0.499172379,0.664885257
4,38.65060526,48.74580495,0.501955912,0.633062402
5,53.4179271,68.43445976,0.518620651,0.664412231
6,54.28053,71.67910381,0.507294673,0.669898166
7,50.07700784,66.18915821,0.505828362,0.668577356
8,41.32709999,58.08672385,0.491989286,0.691508617
9,60.52103649,78.90198721,0.508580139,0.663041909
10,50.17034686,67.59618857,0.491866146,0.662707731
11,45.86052876,59.63099886,0.498484008,0.648163031
