,count,neutral,pos
0,195,125.21382935,107.138194849
1,97,61.9097673624,50.9073071888
2,94,63.0852879782,49.8038607233
3,109,70.5741687819,58.0234541824
4,182,123.197539832,96.0363831565
5,103,74.0506648017,52.3322678539
6,139,93.1182867497,71.8814358222
7,123,83.4875356602,62.2741531879
8,128,86.7445140916,65.9194967013
9,132,76.6077309183,70.712707133
10,113,76.7543919232,62.1855214709
11,103,69.8230639626,51.9260698621
