,positive,neutral,positive_standard,neutral_standard
0,44.0579961826,52.9684430624,0.537292636373,0.645956622712
1,42.0670481947,48.8457618389,0.532494280945,0.618300782771
2,49.0793364917,60.7169385976,0.527734800986,0.652870307501
3,33.8078109582,41.3484549444,0.520120168588,0.636130076068
4,35.9340150333,45.8217652097,0.506112887794,0.645376974785
5,35.8432350765,42.0960992515,0.534973657859,0.628299988829
6,31.5332852015,37.0855006739,0.525554753359,0.618091677899
7,30.6133499731,37.9012859209,0.518870338527,0.642394676625
8,33.0308160276,41.0255664357,0.516106500431,0.641024475557
9,34.3703837996,41.518089372,0.520763390903,0.629061960181
10,33.391792265,41.9121931111,0.530028448651,0.665272906525
11,37.6746209397,45.3616562748,0.546008999126,0.65741530833
