,positive,neutral,positive_standard,neutral_standard
0,47.6020570012,57.4857339628,0.534854573047,0.645907123177
1,32.3426426538,39.0844965249,0.505353791466,0.610695258202
2,55.6338025493,74.6275023086,0.501205428372,0.672319840618
3,52.0743860182,63.151767114,0.515587980378,0.625265020931
4,54.7875467633,68.0590510707,0.526803334262,0.654413952603
5,39.5386125995,49.2261399023,0.513488475319,0.639300518212
6,42.3423403306,51.8665111306,0.522744942354,0.640327297909
7,47.0738744001,59.0537982666,0.517295323078,0.648942838095
8,63.7469464551,84.6934048906,0.49802301918,0.661667225708
9,69.7296201574,84.1338295754,0.532287176774,0.642242973858
10,48.8763638059,62.7946861924,0.514488040062,0.660996696762
11,53.6347152038,66.9984562391,0.536347152038,0.669984562391
