,positive,neutral,positive_standard,neutral_standard
0,25.8141436736,30.9962081186,0.526819258644,0.63257567589
1,20.1015993086,25.5668019467,0.528989455489,0.672810577545
2,29.9831304746,37.1259024287,0.499718841244,0.618765040479
3,35.7416308058,41.7356049699,0.533457176206,0.622919477163
4,37.8766915524,52.3367699472,0.505022554032,0.697823599295
5,40.1139485402,49.9416793065,0.527815112371,0.657127359296
6,40.879640155,49.6120336388,0.530904417597,0.644312125179
7,44.2858968492,55.5041846318,0.503248827832,0.630729370816
8,31.9190150949,40.4386396869,0.541000255846,0.68540067266
9,45.872752557,58.0123336991,0.5334040995,0.674562019757
10,32.5564079536,45.8526177432,0.493278908388,0.694736632472
11,45.0431455582,58.8197007176,0.523757506491,0.683950008344
