DATE,,,,M2,,,,,
12,26,1983,,2122.6,,,,,
1,2,1984,,2127.6,,,,,
1,9,1984,,2133.4,,,,,
1,16,1984,,2137.7,,,,,
1,23,1984,,2140,,,,,
1,30,1984,,2140.7,,,,,
2,6,1984,,2152.1,,,,,
2,13,1984,,2164.5,,,,,
2,20,1984,,2137.7,,,,,
2,27,1984,,2129.2,,,,,
3,5,1984,,2147.7,,,,,
3,12,1984,,2166.7,,,,,
3,19,1984,,2181.2,,,,,
3,26,1984,,2190.8,,,,,
4,2,1984,,2192.6,,,,,
4,9,1984,,2191.8,,,,,
4,16,1984,,2192.8,,,,,
4,23,1984,,2194,,,,,
4,30,1984,,2194.7,,,,,
5,7,1984,,2199,,,,,
5,14,1984,,2204.9,,,,,
5,21,1984,,2207.9,,,,,
5,28,1984,,2209.3,,,,,
6,4,1984,,2214.2,,,,,
6,11,1984,,2216.8,,,,,
6,18,1984,,2218,,,,,
6,25,1984,,2220.9,,,,,
7,2,1984,,2224.6,,,,,
7,9,1984,,2224.5,,,,,
7,16,1984,,2228.8,,,,,
7,23,1984,,2229.7,,,,,
7,30,1984,,2229.3,,,,,
8,6,1984,,2230.6,,,,,
8,13,1984,,2230.6,,,,,
8,20,1984,,2232.1,,,,,
8,27,1984,,2233.5,,,,,
9,3,1984,,2236.4,,,,,
9,10,1984,,2241.1,,,,,
9,17,1984,,2244,,,,,
9,24,1984,,2246.8,,,,,
10,1,1984,,2253.5,,,,,
10,8,1984,,2253.1,,,,,
10,15,1984,,2259.2,,,,,
10,22,1984,,2258.8,,,,,
10,29,1984,,2264.4,,,,,
11,5,1984,,2270.8,,,,,
11,12,1984,,2275.9,,,,,
11,19,1984,,2283.2,,,,,
11,26,1984,,2286.2,,,,,
12,3,1984,,2287.6,,,,,
12,10,1984,,2297.1,,,,,
12,17,1984,,2303.4,,,,,
12,24,1984,,2311.4,,,,,
12,31,1984,,2316.8,,,,,
1,7,1985,,2322.9,,,,,
1,14,1985,,2331.8,,,,,
1,21,1985,,2337.3,,,,,
1,28,1985,,2341.3,,,,,
2,4,1985,,2344,,,,,
2,11,1985,,2345.8,,,,,
2,18,1985,,2349.5,,,,,
2,25,1985,,2352.2,,,,,
3,4,1985,,2357.3,,,,,
3,11,1985,,2359,,,,,
3,18,1985,,2360.8,,,,,
3,25,1985,,2366.3,,,,,
4,1,1985,,2370.6,,,,,
4,8,1985,,2368.5,,,,,
4,15,1985,,2371.4,,,,,
4,22,1985,,2375.5,,,,,
4,29,1985,,2374.5,,,,,
5,6,1985,,2377.6,,,,,
5,13,1985,,2381.5,,,,,
5,20,1985,,2386.8,,,,,
5,27,1985,,2390.4,,,,,
6,3,1985,,2393.2,,,,,
6,10,1985,,2403.4,,,,,
6,17,1985,,2409.3,,,,,
