,DATE,Log GDP ,Log GDP ,Log GDP ,Log GDP ,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,UR,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,log M2,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,Jobless,0,0,0,0,0,0,0,0,0,0,0,0,pos ,,,,,,,,,,,,,neutral,,,,,,,,,,,,,0
15,1-Apr-79,0.00085823,0.005788137,0.004222671,0.016565102,6.1,6.4,6.4,5.7,5.6,5.4,5.8,5.9,6.3,6.2,5.5,5.8,,,,,,,,,,,,,,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,-0.009911424,-2.4,-5.5,1.8,6,-8.9,-4.3,-1.1,2,-4,2.4,-2.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
16,1-May-79,0.00085823,0.005788137,0.004222671,0.016565102,5.5,6.1,6.4,6.4,5.7,5.6,5.4,5.8,5.9,6.3,6.2,5.5,,,,,,,,,,,,,,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-0.00402205,2.1,-2.4,-5.5,1.8,6,-8.9,-4.3,-1.1,2,-4,2.4,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3
17,1-Jun-79,0.00085823,0.005788137,0.004222671,0.016565102,5.2,5.5,6.1,6.4,6.4,5.7,5.6,5.4,5.8,5.9,6.3,6.2,,,,,,,,,,,,,,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,0.028680644,-2.3,2.1,-2.4,-5.5,1.8,6,-8.9,-4.3,-1.1,2,-4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4
18,1-Jul-79,0.000526262,0.00085823,0.005788137,0.004222671,6,5.2,5.5,6.1,6.4,6.4,5.7,5.6,5.4,5.8,5.9,6.3,,,,,,,,,,,,,,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,0.009185077,-5.4,-2.3,2.1,-2.4,-5.5,1.8,6,-8.9,-4.3,-1.1,2,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
19,1-Aug-79,0.000526262,0.00085823,0.005788137,0.004222671,5.9,6,5.2,5.5,6.1,6.4,6.4,5.7,5.6,5.4,5.8,5.9,,,,,,,,,,,,,,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,-0.029842,4.1,-5.4,-2.3,2.1,-2.4,-5.5,1.8,6,-8.9,-4.3,-1.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
20,1-Sep-79,0.000526262,0.00085823,0.005788137,0.004222671,5.9,5.9,6,5.2,5.5,6.1,6.4,6.4,5.7,5.6,5.4,5.8,,,,,,,,,,,,,,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-0.001755531,2.2,4.1,-5.4,-2.3,2.1,-2.4,-5.5,1.8,6,-8.9,-4.3,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6
21,1-Oct-79,0.003110779,0.000526262,0.00085823,0.005788137,5.7,5.9,5.9,6,5.2,5.5,6.1,6.4,6.4,5.7,5.6,5.4,,,,,,,,,,,,,,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,-0.005931593,-4.6,2.2,4.1,-5.4,-2.3,2.1,-2.4,-5.5,1.8,6,-8.9,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
22,1-Nov-79,0.003110779,0.000526262,0.00085823,0.005788137,5.6,5.7,5.9,5.9,6,5.2,5.5,6.1,6.4,6.4,5.7,5.6,,,,,,,,,,,,,,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,0.038500166,1.2,-4.6,2.2,4.1,-5.4,-2.3,2.1,-2.4,-5.5,1.8,6,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3
23,1-Dec-79,0.003110779,0.000526262,0.00085823,0.005788137,5.6,5.6,5.7,5.9,5.9,6,5.2,5.5,6.1,6.4,6.4,5.7,,,,,,,,,,,,,,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,0.008492083,-2.3,1.2,-4.6,2.2,4.1,-5.4,-2.3,2.1,-2.4,-5.5,1.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6
24,1-Jan-80,0.001123262,0.003110779,0.000526262,0.00085823,5.7,5.6,5.6,5.7,5.9,5.9,6,5.2,5.5,6.1,6.4,6.4,,,,,,,,,,,,,,-0.003237636,-0.001442669,0.017007621,0.008644306,0.013452644,-0.007892171,0.022545562,0.023503736,-0.009527616,-0.050993843,0.053148482,0.007265446,-0.007461765,6,-2.3,1.2,-4.6,2.2,4.1,-5.4,-2.3,2.1,-2.4,-5.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1
