DATE,,,,IC4WSA,,
2,26,1972,,263500,,
3,4,1972,,258750,,
3,11,1972,,258250,,
3,18,1972,,260250,,
3,25,1972,,262750,,
4,1,1972,,263000,,
4,8,1972,,265500,,
4,15,1972,,263750,,
4,22,1972,,262500,,
4,29,1972,,264250,,
5,6,1972,,263500,,
5,13,1972,,265250,,
5,20,1972,,267250,,
5,27,1972,,267750,,
6,3,1972,,266000,,
6,10,1972,,266500,,
6,17,1972,,268500,,
6,24,1972,,273250,,
7,1,1972,,294750,,
7,8,1972,,302000,,
7,15,1972,,312750,,
7,22,1972,,310250,,
7,29,1972,,284500,,
8,5,1972,,272750,,
8,12,1972,,254750,,
8,19,1972,,249750,,
8,26,1972,,253500,,
9,2,1972,,255500,,
9,9,1972,,258750,,
9,16,1972,,259250,,
9,23,1972,,257500,,
9,30,1972,,255750,,
10,7,1972,,256750,,
10,14,1972,,254750,,
10,21,1972,,255250,,
10,28,1972,,251000,,
11,4,1972,,249000,,
11,11,1972,,247000,,
11,18,1972,,250500,,
11,25,1972,,250750,,
12,2,1972,,243500,,
12,9,1972,,246000,,
12,16,1972,,244000,,
12,23,1972,,246750,,
12,30,1972,,246500,,
1,6,1973,,240000,,
1,13,1973,,235500,,
1,20,1973,,231250,,
1,27,1973,,228500,,
2,3,1973,,229000,,
2,10,1973,,224250,,
2,17,1973,,221000,,
2,24,1973,,222000,,
3,3,1973,,221250,,
3,10,1973,,222000,,
3,17,1973,,225000,,
3,24,1973,,228500,,
3,31,1973,,227750,,
4,7,1973,,232250,,
4,14,1973,,232750,,
4,21,1973,,235500,,
4,28,1973,,239000,,
5,5,1973,,239250,,
5,12,1973,,241250,,
5,19,1973,,239750,,
5,26,1973,,240250,,
6,2,1973,,236250,,
6,9,1973,,238250,,
6,16,1973,,238250,,
6,23,1973,,239250,,
6,30,1973,,240500,,
7,7,1973,,241000,,
7,14,1973,,239750,,
7,21,1973,,239500,,
7,28,1973,,242750,,
8,4,1973,,244750,,
8,11,1973,,253000,,
8,18,1973,,257250,,
8,25,1973,,258250,,
9,1,1973,,254750,,
9,8,1973,,251500,,
9,15,1973,,248250,,
9,22,1973,,246250,,
9,29,1973,,248000,,
10,6,1973,,244000,,
10,13,1973,,244250,,
10,20,1973,,245000,,
10,27,1973,,241500,,
11,3,1973,,244000,,
11,10,1973,,253000,,
11,17,1973,,254250,,
11,24,1973,,253750,,
12,1,1973,,256250,,
12,8,1973,,252250,,
12,15,1973,,256750,,
12,22,1973,,280000,,
12,29,1973,,291000,,
1,5,1974,,291750,,
1,12,1974,,308750,,
1,19,1974,,307500,,
1,26,1974,,305250,,
2,2,1974,,313500,,
2,9,1974,,320750,,
2,16,1974,,318250,,
2,23,1974,,318500,,
3,2,1974,,318250,,
3,9,1974,,302250,,
3,16,1974,,303250,,
3,23,1974,,308750,,
3,30,1974,,314250,,
4,6,1974,,312000,,
4,13,1974,,307500,,
4,20,1974,,303000,,
4,27,1974,,293000,,
5,4,1974,,290750,,
5,11,1974,,290500,,
5,18,1974,,291000,,
5,25,1974,,297500,,
6,1,1974,,295250,,
6,8,1974,,299750,,
6,15,1974,,301000,,
6,22,1974,,300750,,
6,29,1974,,312500,,
7,6,1974,,311750,,
7,13,1974,,312000,,
7,20,1974,,310750,,
7,27,1974,,309500,,
8,3,1974,,315500,,
8,10,1974,,326250,,
8,17,1974,,333500,,
8,24,1974,,339250,,
8,31,1974,,343000,,
9,7,1974,,343750,,
9,14,1974,,350000,,
9,21,1974,,356750,,
9,28,1974,,360750,,
10,5,1974,,366000,,
10,12,1974,,380000,,
10,19,1974,,384750,,
10,26,1974,,396750,,
11,2,1974,,405500,,
