DATE,,,,IC4WSA,,
7,25,1987,,319250,,
8,1,1987,,324750,,
8,8,1987,,327250,,
8,15,1987,,329500,,
8,22,1987,,326500,,
8,29,1987,,320000,,
9,5,1987,,317250,,
9,12,1987,,311750,,
9,19,1987,,311000,,
9,26,1987,,309750,,
10,3,1987,,306000,,
10,10,1987,,308750,,
10,17,1987,,306750,,
10,24,1987,,302750,,
10,31,1987,,299750,,
11,7,1987,,297000,,
11,14,1987,,298500,,
11,21,1987,,302500,,
11,28,1987,,306750,,
12,5,1987,,312250,,
12,12,1987,,314750,,
12,19,1987,,316250,,
12,26,1987,,318750,,
1,2,1988,,317750,,
1,9,1988,,319750,,
1,16,1988,,329250,,
1,23,1988,,334000,,
1,30,1988,,340750,,
2,6,1988,,339000,,
2,13,1988,,326500,,
2,20,1988,,324500,,
2,27,1988,,318750,,
3,5,1988,,316000,,
3,12,1988,,314250,,
3,19,1988,,309250,,
3,26,1988,,305500,,
4,2,1988,,306000,,
4,9,1988,,308250,,
4,16,1988,,310000,,
4,23,1988,,312000,,
4,30,1988,,313000,,
5,7,1988,,312000,,
5,14,1988,,312000,,
5,21,1988,,313750,,
5,28,1988,,313750,,
6,4,1988,,314000,,
6,11,1988,,311750,,
6,18,1988,,309750,,
6,25,1988,,308250,,
7,2,1988,,307000,,
7,9,1988,,306500,,
7,16,1988,,307500,,
7,23,1988,,319250,,
7,30,1988,,325750,,
8,6,1988,,329000,,
8,13,1988,,328250,,
8,20,1988,,318750,,
8,27,1988,,314750,,
9,3,1988,,312250,,
9,10,1988,,310500,,
9,17,1988,,308000,,
9,24,1988,,304500,,
10,1,1988,,301000,,
10,8,1988,,297750,,
10,15,1988,,294500,,
10,22,1988,,290750,,
10,29,1988,,291250,,
11,5,1988,,289500,,
11,12,1988,,287250,,
11,19,1988,,289250,,
11,26,1988,,290500,,
12,3,1988,,293750,,
12,10,1988,,294000,,
12,17,1988,,293750,,
12,24,1988,,290500,,
12,31,1988,,292000,,
1,7,1989,,295500,,
1,14,1989,,293000,,
1,21,1989,,292000,,
1,28,1989,,289750,,
2,4,1989,,287000,,
2,11,1989,,296750,,
2,18,1989,,302500,,
2,25,1989,,303750,,
3,4,1989,,313000,,
3,11,1989,,313750,,
3,18,1989,,317250,,
3,25,1989,,322000,,
4,1,1989,,321500,,
4,8,1989,,318750,,
4,15,1989,,315750,,
4,22,1989,,312000,,
4,29,1989,,309000,,
5,6,1989,,310500,,
5,13,1989,,316750,,
5,20,1989,,321000,,
5,27,1989,,324500,,
6,3,1989,,325750,,
6,10,1989,,325750,,
6,17,1989,,329750,,
6,24,1989,,333000,,
7,1,1989,,339000,,
7,8,1989,,341250,,
7,15,1989,,344250,,
7,22,1989,,342750,,
7,29,1989,,339750,,
8,5,1989,,339000,,
8,12,1989,,337000,,
8,19,1989,,335750,,
8,26,1989,,334500,,
9,2,1989,,332250,,
9,9,1989,,331000,,
9,16,1989,,332750,,
9,23,1989,,333250,,
9,30,1989,,337750,,
10,7,1989,,355500,,
10,14,1989,,358250,,
10,21,1989,,361500,,
10,28,1989,,363250,,
11,4,1989,,344750,,
11,11,1989,,342500,,
11,18,1989,,339750,,
11,25,1989,,336750,,
12,2,1989,,339500,,
12,9,1989,,340000,,
12,16,1989,,344750,,
12,23,1989,,354500,,
12,30,1989,,358000,,
1,6,1990,,362250,,
1,13,1990,,365750,,
1,20,1990,,364250,,
1,27,1990,,361000,,
2,3,1990,,364250,,
2,10,1990,,363750,,
2,17,1990,,357000,,
2,24,1990,,358250,,
3,3,1990,,354000,,
3,10,1990,,349500,,
3,17,1990,,349750,,
3,24,1990,,345000,,
3,31,1990,,343750,,
4,7,1990,,348250,,
4,14,1990,,350250,,
4,21,1990,,357500,,
4,28,1990,,361750,,
5,5,1990,,358500,,
5,12,1990,,358000,,
5,19,1990,,356250,,
5,26,1990,,355250,,
6,2,1990,,358750,,
6,9,1990,,359750,,
6,16,1990,,361250,,
6,23,1990,,362000,,
6,30,1990,,361000,,
7,7,1990,,361750,,
7,14,1990,,363750,,
7,21,1990,,365750,,
7,28,1990,,367000,,
8,4,1990,,368750,,
8,11,1990,,372250,,
8,18,1990,,378000,,
8,25,1990,,384250,,
9,1,1990,,390000,,
9,8,1990,,392250,,
9,15,1990,,392750,,
9,22,1990,,391500,,
9,29,1990,,394500,,
10,6,1990,,398000,,
10,13,1990,,404750,,
10,20,1990,,416250,,
10,27,1990,,425250,,
11,3,1990,,431750,,
11,10,1990,,438250,,
11,17,1990,,441250,,
11,24,1990,,446750,,
12,1,1990,,452000,,
12,8,1990,,452250,,
12,15,1990,,452250,,
12,22,1990,,455250,,
12,29,1990,,456000,,
1,5,1991,,447500,,
1,12,1991,,445000,,
1,19,1991,,437750,,
1,26,1991,,439750,,
2,2,1991,,456750,,
2,9,1991,,467500,,
2,16,1991,,474750,,
2,23,1991,,484000,,
3,2,1991,,485250,,
3,9,1991,,490000,,
3,16,1991,,496000,,
3,23,1991,,498500,,
3,30,1991,,501250,,
4,6,1991,,489500,,
4,13,1991,,484250,,
4,20,1991,,476500,,
4,27,1991,,467250,,
5,4,1991,,467000,,
5,11,1991,,459250,,
5,18,1991,,451750,,
5,25,1991,,447000,,
6,1,1991,,442250,,
6,8,1991,,441000,,
6,15,1991,,436250,,
6,22,1991,,431250,,
6,29,1991,,427750,,
7,6,1991,,423000,,
7,13,1991,,420750,,
7,20,1991,,417000,,
7,27,1991,,418250,,
8,3,1991,,422250,,
8,10,1991,,426500,,
8,17,1991,,432750,,
8,24,1991,,433250,,
8,31,1991,,430000,,
9,7,1991,,426750,,
9,14,1991,,423000,,
9,21,1991,,421500,,
9,28,1991,,424500,,
10,5,1991,,424500,,
10,12,1991,,426250,,
10,19,1991,,426250,,
10,26,1991,,422750,,
11,2,1991,,428500,,
11,9,1991,,435500,,
11,16,1991,,440500,,
11,23,1991,,445750,,
11,30,1991,,445000,,
12,7,1991,,450500,,
12,14,1991,,459500,,
12,21,1991,,457500,,
12,28,1991,,456750,,
1,4,1992,,446000,,
1,11,1992,,437250,,
1,18,1992,,439000,,
1,25,1992,,439000,,
2,1,1992,,441000,,
2,8,1992,,442250,,
2,15,1992,,443000,,
2,22,1992,,441750,,
2,29,1992,,442750,,
3,7,1992,,436750,,
3,14,1992,,434500,,
3,21,1992,,435500,,
3,28,1992,,429500,,
4,4,1992,,427250,,
4,11,1992,,421250,,
4,18,1992,,417250,,
4,25,1992,,418250,,
5,2,1992,,423000,,
5,9,1992,,424000,,
5,16,1992,,421500,,
5,23,1992,,419000,,
5,30,1992,,414000,,
6,6,1992,,413750,,
6,13,1992,,415250,,
6,20,1992,,416500,,
6,27,1992,,418750,,
7,4,1992,,416500,,
7,11,1992,,413500,,
7,18,1992,,406750,,
7,25,1992,,442750,,
8,1,1992,,446750,,
8,8,1992,,446250,,
8,15,1992,,448500,,
8,22,1992,,407000,,
8,29,1992,,403250,,
9,5,1992,,405750,,
9,12,1992,,409500,,
9,19,1992,,416750,,
9,26,1992,,417000,,
10,3,1992,,412500,,
10,10,1992,,402000,,
10,17,1992,,391500,,
10,24,1992,,381000,,
10,31,1992,,372750,,
11,7,1992,,372750,,
11,14,1992,,370750,,
11,21,1992,,368250,,
11,28,1992,,362250,,
12,5,1992,,356250,,
12,12,1992,,351750,,
12,19,1992,,346000,,
12,26,1992,,339000,,
1,2,1993,,336750,,
1,9,1993,,335500,,
1,16,1993,,340000,,
1,23,1993,,347000,,
1,30,1993,,346750,,
2,6,1993,,338000,,
2,13,1993,,330250,,
2,20,1993,,332750,,
2,27,1993,,338250,,
3,6,1993,,347000,,
3,13,1993,,353250,,
3,20,1993,,350000,,
3,27,1993,,351000,,
4,3,1993,,353750,,
4,10,1993,,355500,,
4,17,1993,,358750,,
4,24,1993,,354750,,
5,1,1993,,349250,,
5,8,1993,,345750,,
5,15,1993,,344250,,
5,22,1993,,342250,,
5,29,1993,,343750,,
6,5,1993,,344750,,
6,12,1993,,344250,,
6,19,1993,,345000,,
6,26,1993,,342750,,
7,3,1993,,340500,,
7,10,1993,,333250,,
7,17,1993,,330750,,
7,24,1993,,349500,,
7,31,1993,,355000,,
8,7,1993,,363000,,
8,14,1993,,364000,,
8,21,1993,,345750,,
8,28,1993,,341000,,
9,4,1993,,338000,,
9,11,1993,,336500,,
9,18,1993,,337500,,
9,25,1993,,339000,,
10,2,1993,,338750,,
10,9,1993,,344250,,
10,16,1993,,347500,,
10,23,1993,,350250,,
10,30,1993,,354000,,
11,6,1993,,352750,,
11,13,1993,,348250,,
11,20,1993,,343750,,
11,27,1993,,341000,,
12,4,1993,,337750,,
12,11,1993,,336000,,
12,18,1993,,334750,,
12,25,1993,,323000,,
1,1,1994,,324000,,
1,8,1994,,326250,,
1,15,1994,,332250,,
1,22,1994,,347500,,
1,29,1994,,363750,,
2,5,1994,,368250,,
2,12,1994,,368000,,
2,19,1994,,368250,,
2,26,1994,,348500,,
3,5,1994,,345250,,
3,12,1994,,342000,,
3,19,1994,,337000,,
3,26,1994,,335750,,
4,2,1994,,334250,,
4,9,1994,,336250,,
4,16,1994,,341750,,
4,23,1994,,344000,,
4,30,1994,,344500,,
5,7,1994,,350000,,
5,14,1994,,351500,,
5,21,1994,,358000,,
5,28,1994,,359000,,
6,4,1994,,352500,,
6,11,1994,,347000,,
6,18,1994,,341750,,
6,25,1994,,340000,,
7,2,1994,,337250,,
7,9,1994,,338000,,
7,16,1994,,343750,,
7,23,1994,,344750,,
7,30,1994,,344250,,
8,6,1994,,343500,,
8,13,1994,,337500,,
8,20,1994,,334000,,
8,27,1994,,336250,,
9,3,1994,,336500,,
9,10,1994,,335500,,
9,17,1994,,334250,,
9,24,1994,,330250,,
10,1,1994,,328000,,
10,8,1994,,330500,,
10,15,1994,,332750,,
10,22,1994,,334000,,
10,29,1994,,334250,,
11,5,1994,,331000,,
11,12,1994,,329500,,
11,19,1994,,328500,,
11,26,1994,,328000,,
12,3,1994,,327000,,
12,10,1994,,327000,,
12,17,1994,,328000,,
12,24,1994,,324250,,
12,31,1994,,323000,,
1,7,1995,,325250,,
1,14,1995,,329500,,
1,21,1995,,332250,,
1,28,1995,,333500,,
2,4,1995,,330000,,
2,11,1995,,330250,,
2,18,1995,,334750,,
2,25,1995,,337750,,
3,4,1995,,341500,,
3,11,1995,,341250,,
3,18,1995,,341250,,
3,25,1995,,340250,,
4,1,1995,,339250,,
4,8,1995,,339250,,
4,15,1995,,342250,,
4,22,1995,,346500,,
4,29,1995,,354000,,
5,6,1995,,358250,,
5,13,1995,,361000,,
5,20,1995,,368000,,
5,27,1995,,370250,,
6,3,1995,,369750,,
6,10,1995,,370000,,
6,17,1995,,370250,,
6,24,1995,,366250,,
7,1,1995,,364500,,
7,8,1995,,365750,,
7,15,1995,,368500,,
7,22,1995,,376500,,
7,29,1995,,375500,,
8,5,1995,,370250,,
8,12,1995,,361250,,
8,19,1995,,354250,,
8,26,1995,,356250,,
9,2,1995,,357250,,
9,9,1995,,361750,,
9,16,1995,,365250,,
9,23,1995,,363750,,
9,30,1995,,363750,,
10,7,1995,,364500,,
10,14,1995,,362750,,
10,21,1995,,366000,,
10,28,1995,,371500,,
11,4,1995,,373000,,
11,11,1995,,373250,,
11,18,1995,,376500,,
11,25,1995,,377000,,
12,2,1995,,375250,,
12,9,1995,,369250,,
12,16,1995,,367750,,
12,23,1995,,366500,,
12,30,1995,,363000,,
1,6,1996,,366750,,
1,13,1996,,356750,,
1,20,1996,,367000,,
1,27,1996,,374000,,
2,3,1996,,377250,,
2,10,1996,,390750,,
2,17,1996,,382750,,
2,24,1996,,377250,,
3,2,1996,,375750,,
3,9,1996,,369250,,
3,16,1996,,369500,,
3,23,1996,,384750,,
3,30,1996,,391000,,
4,6,1996,,393000,,
4,13,1996,,386250,,
4,20,1996,,371750,,
4,27,1996,,359250,,
5,4,1996,,351500,,
5,11,1996,,350250,,
5,18,1996,,344500,,
5,25,1996,,344500,,
6,1,1996,,345000,,
6,8,1996,,344750,,
6,15,1996,,344000,,
6,22,1996,,343500,,
6,29,1996,,342750,,
7,6,1996,,340500,,
7,13,1996,,341750,,
7,20,1996,,339500,,
7,27,1996,,337000,,
8,3,1996,,333000,,
8,10,1996,,329000,,
8,17,1996,,330000,,
8,24,1996,,332500,,
8,31,1996,,333250,,
9,7,1996,,333750,,
9,14,1996,,334250,,
9,21,1996,,338000,,
9,28,1996,,342750,,
10,5,1996,,343250,,
10,12,1996,,342250,,
10,19,1996,,338000,,
10,26,1996,,339000,,
11,2,1996,,338750,,
11,9,1996,,337000,,
11,16,1996,,338750,,
11,23,1996,,337500,,
11,30,1996,,337000,,
12,7,1996,,344000,,
12,14,1996,,346500,,
12,21,1996,,347250,,
12,28,1996,,353500,,
1,4,1997,,351500,,
1,11,1997,,344500,,
1,18,1997,,343250,,
1,25,1997,,339000,,
2,1,1997,,335500,,
2,8,1997,,333250,,
2,15,1997,,325250,,
2,22,1997,,320750,,
3,1,1997,,317750,,
3,8,1997,,318250,,
3,15,1997,,319750,,
3,22,1997,,318000,,
3,29,1997,,319000,,
4,5,1997,,321000,,
4,12,1997,,323750,,
4,19,1997,,324000,,
4,26,1997,,327000,,
5,3,1997,,331250,,
5,10,1997,,328250,,
5,17,1997,,329750,,
5,24,1997,,324500,,
5,31,1997,,319250,,
6,7,1997,,322000,,
6,14,1997,,325250,,
6,21,1997,,325250,,
6,28,1997,,325500,,
7,5,1997,,329750,,
7,12,1997,,328000,,
7,19,1997,,324250,,
7,26,1997,,320250,,
8,2,1997,,313750,,
8,9,1997,,314000,,
8,16,1997,,324500,,
8,23,1997,,329750,,
8,30,1997,,332750,,
9,6,1997,,328750,,
9,13,1997,,321500,,
9,20,1997,,319000,,
9,27,1997,,315250,,
10,4,1997,,314750,,
10,11,1997,,312500,,
10,18,1997,,312750,,
10,25,1997,,310000,,
11,1,1997,,310500,,
11,8,1997,,311250,,
11,15,1997,,313000,,
11,22,1997,,313750,,
11,29,1997,,315000,,
12,6,1997,,317250,,
12,13,1997,,316750,,
12,20,1997,,317000,,
12,27,1997,,313250,,
1,3,1998,,312000,,
1,10,1998,,314000,,
1,17,1998,,321750,,
1,24,1998,,322750,,
1,31,1998,,323500,,
2,7,1998,,318500,,
2,14,1998,,313500,,
2,21,1998,,318500,,
2,28,1998,,319000,,
3,7,1998,,318250,,
3,14,1998,,317750,,
3,21,1998,,316250,,
3,28,1998,,315000,,
4,4,1998,,316000,,
4,11,1998,,312250,,
4,18,1998,,311250,,
4,25,1998,,311000,,
5,2,1998,,309000,,
5,9,1998,,309500,,
5,16,1998,,309000,,
5,23,1998,,308500,,
5,30,1998,,313000,,
6,6,1998,,313000,,
6,13,1998,,314500,,
6,20,1998,,324500,,
6,27,1998,,338000,,
7,4,1998,,352000,,
7,11,1998,,351750,,
7,18,1998,,343250,,
7,25,1998,,333000,,
8,1,1998,,324250,,
8,8,1998,,323250,,
8,15,1998,,321500,,
8,22,1998,,313250,,
8,29,1998,,309000,,
9,5,1998,,308250,,
9,12,1998,,307250,,
9,19,1998,,308000,,
9,26,1998,,304000,,
10,3,1998,,301250,,
10,10,1998,,304250,,
10,17,1998,,307500,,
10,24,1998,,311250,,
10,31,1998,,312750,,
11,7,1998,,312750,,
11,14,1998,,316750,,
11,21,1998,,315500,,
11,28,1998,,316000,,
12,5,1998,,318500,,
12,12,1998,,311250,,
12,19,1998,,309500,,
12,26,1998,,316000,,
1,2,1999,,317250,,
1,9,1999,,327250,,
1,16,1999,,337750,,
1,23,1999,,331500,,
1,30,1999,,325000,,
2,6,1999,,311500,,
2,13,1999,,304750,,
2,20,1999,,302500,,
2,27,1999,,301500,,
3,6,1999,,303750,,
3,13,1999,,302750,,
3,20,1999,,303500,,
3,27,1999,,302750,,
4,3,1999,,305250,,
4,10,1999,,308000,,
4,17,1999,,310250,,
4,24,1999,,308500,,
5,1,1999,,305000,,
5,8,1999,,302750,,
5,15,1999,,299500,,
5,22,1999,,301250,,
5,29,1999,,303000,,
6,5,1999,,301250,,
6,12,1999,,298500,,
6,19,1999,,297000,,
6,26,1999,,294000,,
7,3,1999,,290000,,
7,10,1999,,289500,,
7,17,1999,,293750,,
7,24,1999,,297500,,
7,31,1999,,300750,,
8,7,1999,,302500,,
8,14,1999,,298250,,
8,21,1999,,293250,,
8,28,1999,,290750,,
9,4,1999,,289500,,
9,11,1999,,286750,,
9,18,1999,,285500,,
9,25,1999,,289500,,
10,2,1999,,294250,,
10,9,1999,,296750,,
10,16,1999,,298250,,
10,23,1999,,291750,,
10,30,1999,,285750,,
11,6,1999,,283500,,
11,13,1999,,282000,,
11,20,1999,,281000,,
11,27,1999,,281750,,
12,4,1999,,283000,,
12,11,1999,,280750,,
12,18,1999,,283500,,
12,25,1999,,278500,,
1,1,2000,,278250,,
1,8,2000,,284750,,
1,15,2000,,285250,,
1,22,2000,,289250,,
1,29,2000,,289000,,
2,5,2000,,292500,,
2,12,2000,,295250,,
2,19,2000,,295000,,
2,26,2000,,293750,,
3,4,2000,,287250,,
3,11,2000,,279750,,
3,18,2000,,276750,,
3,25,2000,,274750,,
4,1,2000,,269750,,
4,8,2000,,269250,,
4,15,2000,,266250,,
4,22,2000,,266750,,
4,29,2000,,273000,,
5,6,2000,,279250,,
5,13,2000,,283500,,
5,20,2000,,285000,,
5,27,2000,,282250,,
6,3,2000,,281500,,
6,10,2000,,283500,,
6,17,2000,,287000,,
6,24,2000,,291000,,
7,1,2000,,288750,,
7,8,2000,,291000,,
7,15,2000,,293250,,
7,22,2000,,294250,,
7,29,2000,,298500,,
8,5,2000,,301750,,
8,12,2000,,304750,,
8,19,2000,,309250,,
8,26,2000,,312750,,
9,2,2000,,311500,,
9,9,2000,,310000,,
9,16,2000,,308250,,
9,23,2000,,302250,,
9,30,2000,,300000,,
10,7,2000,,300000,,
10,14,2000,,297000,,
10,21,2000,,298750,,
10,28,2000,,301000,,
11,4,2000,,306500,,
11,11,2000,,311250,,
11,18,2000,,320500,,
11,25,2000,,334250,,
12,2,2000,,336000,,
12,9,2000,,336750,,
12,16,2000,,342250,,
12,23,2000,,344250,,
12,30,2000,,348000,,
1,6,2001,,352000,,
1,13,2001,,343000,,
1,20,2001,,337750,,
1,27,2001,,340000,,
2,3,2001,,349750,,
2,10,2001,,361500,,
2,17,2001,,365250,,
2,24,2001,,371250,,
3,3,2001,,373250,,
3,10,2001,,380250,,
3,17,2001,,389000,,
3,24,2001,,387000,,
3,31,2001,,388000,,
4,7,2001,,389250,,
4,14,2001,,386750,,
4,21,2001,,392250,,
4,28,2001,,396750,,
5,5,2001,,392500,,
5,12,2001,,394250,,
5,19,2001,,394750,,
5,26,2001,,394500,,
6,2,2001,,400750,,
6,9,2001,,406000,,
6,16,2001,,404000,,
6,23,2001,,398000,,
6,30,2001,,395000,,
7,7,2001,,392500,,
7,14,2001,,395250,,
7,21,2001,,399500,,
7,28,2001,,398000,,
8,4,2001,,398000,,
8,11,2001,,395250,,
8,18,2001,,396250,,
8,25,2001,,398000,,
9,1,2001,,398250,,
9,8,2001,,401750,,
9,15,2001,,400000,,
9,22,2001,,414500,,
9,29,2001,,443250,,
10,6,2001,,460250,,
10,13,2001,,482000,,
10,20,2001,,489250,,
10,27,2001,,480750,,
11,3,2001,,471750,,
11,10,2001,,458250,,
11,17,2001,,445500,,
11,24,2001,,447500,,
12,1,2001,,453750,,
12,8,2001,,445000,,
12,15,2001,,434500,,
12,22,2001,,415750,,
12,29,2001,,404750,,
1,5,2002,,405750,,
1,12,2002,,413000,,
1,19,2002,,410250,,
1,26,2002,,408500,,
2,2,2002,,410250,,
2,9,2002,,405000,,
2,16,2002,,403000,,
2,23,2002,,399000,,
3,2,2002,,396000,,
3,9,2002,,396500,,
3,16,2002,,395250,,
3,23,2002,,399500,,
3,30,2002,,421250,,
4,6,2002,,432750,,
4,13,2002,,445250,,
4,20,2002,,445500,,
4,27,2002,,429250,,
5,4,2002,,420250,,
5,11,2002,,413000,,
5,18,2002,,411750,,
5,25,2002,,409000,,
6,1,2002,,401250,,
6,8,2002,,395000,,
6,15,2002,,391250,,
6,22,2002,,387500,,
6,29,2002,,389500,,
7,6,2002,,390250,,
7,13,2002,,387250,,
7,20,2002,,385000,,
7,27,2002,,386000,,
8,3,2002,,385250,,
8,10,2002,,386500,,
8,17,2002,,391500,,
8,24,2002,,393500,,
8,31,2002,,395000,,
9,7,2002,,401750,,
9,14,2002,,405000,,
9,21,2002,,405750,,
9,28,2002,,409500,,
10,5,2002,,406500,,
10,12,2002,,404750,,
10,19,2002,,407500,,
10,26,2002,,407500,,
11,2,2002,,407750,,
11,9,2002,,406500,,
11,16,2002,,400750,,
11,23,2002,,396000,,
11,30,2002,,389000,,
12,7,2002,,395250,,
12,14,2002,,405250,,
12,21,2002,,406250,,
12,28,2002,,414250,,
1,4,2003,,406250,,
1,11,2003,,393500,,
1,18,2003,,395500,,
1,25,2003,,395000,,
2,1,2003,,400000,,
2,8,2003,,403000,,
2,15,2003,,407500,,
2,22,2003,,411000,,
3,1,2003,,416750,,
3,8,2003,,425250,,
3,15,2003,,427750,,
3,22,2003,,425250,,
3,29,2003,,425250,,
4,5,2003,,423500,,
4,12,2003,,424500,,
4,19,2003,,434250,,
4,26,2003,,436250,,
5,3,2003,,439000,,
5,10,2003,,434750,,
5,17,2003,,428500,,
5,24,2003,,422250,,
5,31,2003,,423000,,
6,7,2003,,426000,,
6,14,2003,,425000,,
6,21,2003,,422250,,
6,28,2003,,421750,,
7,5,2003,,422750,,
7,12,2003,,420500,,
7,19,2003,,419250,,
7,26,2003,,411500,,
8,2,2003,,403500,,
8,9,2003,,401500,,
8,16,2003,,400250,,
8,23,2003,,398500,,
8,30,2003,,400000,,
9,6,2003,,404500,,
9,13,2003,,403500,,
9,20,2003,,400500,,
9,27,2003,,395500,,
10,4,2003,,386500,,
10,11,2003,,382000,,
10,18,2003,,384000,,
10,25,2003,,382000,,
11,1,2003,,376250,,
11,8,2003,,375000,,
11,15,2003,,370750,,
11,22,2003,,364500,,
11,29,2003,,363000,,
12,6,2003,,362000,,
12,13,2003,,360250,,
12,20,2003,,360250,,
12,27,2003,,358250,,
1,3,2004,,355500,,
1,10,2004,,353250,,
1,17,2004,,355250,,
1,24,2004,,356250,,
1,31,2004,,361250,,
2,7,2004,,367750,,
2,14,2004,,366250,,
2,21,2004,,367750,,
2,28,2004,,360750,,
3,6,2004,,351750,,
3,13,2004,,347250,,
3,20,2004,,344000,,
3,27,2004,,342000,,
4,3,2004,,339750,,
4,10,2004,,344000,,
4,17,2004,,348500,,
4,24,2004,,348250,,
5,1,2004,,345500,,
5,8,2004,,339000,,
5,15,2004,,335250,,
5,22,2004,,336000,,
5,29,2004,,339250,,
6,5,2004,,345750,,
6,12,2004,,343250,,
6,19,2004,,346250,,
6,26,2004,,349000,,
7,3,2004,,341750,,
7,10,2004,,343250,,
7,17,2004,,343500,,
7,24,2004,,343500,,
7,31,2004,,347250,,
8,7,2004,,345000,,
8,14,2004,,339250,,
8,21,2004,,338000,,
8,28,2004,,340750,,
9,4,2004,,338250,,
9,11,2004,,338000,,
9,18,2004,,337500,,
9,25,2004,,337250,,
10,2,2004,,339500,,
10,9,2004,,341250,,
10,16,2004,,337750,,
10,23,2004,,334500,,
10,30,2004,,333750,,
11,6,2004,,331750,,
11,13,2004,,334250,,
11,20,2004,,328000,,
11,27,2004,,328750,,
12,4,2004,,332000,,
12,11,2004,,326750,,
12,18,2004,,329000,,
12,25,2004,,325250,,
1,1,2005,,328500,,
1,8,2005,,341750,,
1,15,2005,,344250,,
1,22,2005,,346500,,
1,29,2005,,340250,,
2,5,2005,,324750,,
2,12,2005,,318750,,
2,19,2005,,316000,,
2,26,2005,,311750,,
3,5,2005,,318250,,
3,12,2005,,322250,,
3,19,2005,,325000,,
3,26,2005,,332000,,
4,2,2005,,332500,,
4,9,2005,,332250,,
4,16,2005,,326750,,
4,23,2005,,320500,,
4,30,2005,,320250,,
5,7,2005,,321250,,
5,14,2005,,324750,,
5,21,2005,,325500,,
5,28,2005,,327000,,
6,4,2005,,329750,,
6,11,2005,,332750,,
6,18,2005,,333000,,
6,25,2005,,325750,,
7,2,2005,,323000,,
7,9,2005,,324250,,
7,16,2005,,324750,,
7,23,2005,,326500,,
7,30,2005,,323750,,
8,6,2005,,317000,,
8,13,2005,,316000,,
8,20,2005,,315250,,
8,27,2005,,315750,,
9,3,2005,,319500,,
9,10,2005,,345250,,
9,17,2005,,372500,,
9,24,2005,,382750,,
10,1,2005,,397250,,
10,8,2005,,387500,,
10,15,2005,,368500,,
10,22,2005,,359750,,
10,29,2005,,344250,,
11,5,2005,,329750,,
11,12,2005,,320000,,
11,19,2005,,320000,,
11,26,2005,,317250,,
12,3,2005,,316250,,
12,10,2005,,320750,,
12,17,2005,,317750,,
12,24,2005,,320000,,
12,31,2005,,315250,,
1,7,2006,,315000,,
1,14,2006,,308250,,
1,21,2006,,300750,,
1,28,2006,,295750,,
2,4,2006,,286500,,
2,11,2006,,289750,,
2,18,2006,,288000,,
2,25,2006,,290750,,
3,4,2006,,294000,,
3,11,2006,,296250,,
3,18,2006,,301250,,
3,25,2006,,301750,,
4,1,2006,,299000,,
4,8,2006,,297000,,
4,15,2006,,296000,,
4,22,2006,,299250,,
4,29,2006,,306750,,
5,6,2006,,318750,,
5,13,2006,,327750,,
5,20,2006,,330500,,
5,27,2006,,332750,,
6,3,2006,,322750,,
6,10,2006,,313500,,
6,17,2006,,310750,,
6,24,2006,,305500,,
7,1,2006,,307750,,
7,8,2006,,319000,,
7,15,2006,,321500,,
7,22,2006,,320750,,
7,29,2006,,319500,,
8,5,2006,,313250,,
8,12,2006,,311250,,
8,19,2006,,313500,,
8,26,2006,,314250,,
9,2,2006,,313500,,
9,9,2006,,314500,,
9,16,2006,,316750,,
9,23,2006,,318000,,
9,30,2006,,316500,,
10,7,2006,,317000,,
10,14,2006,,312250,,
10,21,2006,,310750,,
10,28,2006,,315500,,
11,4,2006,,316250,,
11,11,2006,,317750,,
11,18,2006,,321000,,
11,25,2006,,326250,,
12,2,2006,,328250,,
12,9,2006,,328250,,
12,16,2006,,326250,,
12,23,2006,,319750,,
12,30,2006,,323250,,
1,6,2007,,328000,,
1,13,2007,,322500,,
1,20,2007,,325500,,
1,27,2007,,317250,,
2,3,2007,,312250,,
2,10,2007,,322750,,
2,17,2007,,319250,,
2,24,2007,,322750,,
3,3,2007,,325250,,
3,10,2007,,317750,,
3,17,2007,,314750,,
3,24,2007,,310000,,
3,31,2007,,306750,,
4,7,2007,,312750,,
4,14,2007,,317250,,
4,21,2007,,321750,,
4,28,2007,,320250,,
5,5,2007,,312250,,
5,12,2007,,304750,,
5,19,2007,,302000,,
5,26,2007,,304250,,
6,2,2007,,307500,,
6,9,2007,,311500,,
6,16,2007,,314000,,
6,23,2007,,314750,,
6,30,2007,,315750,,
7,7,2007,,317750,,
7,14,2007,,317000,,
7,21,2007,,316250,,
7,28,2007,,313250,,
8,4,2007,,311500,,
8,11,2007,,311250,,
8,18,2007,,314000,,
8,25,2007,,320000,,
9,1,2007,,320000,,
9,8,2007,,321250,,
9,15,2007,,319250,,
9,22,2007,,312500,,
9,29,2007,,313250,,
10,6,2007,,312000,,
10,13,2007,,317500,,
10,20,2007,,325500,,
10,27,2007,,328250,,
11,3,2007,,331000,,
11,10,2007,,330500,,
11,17,2007,,330000,,
11,24,2007,,336000,,
12,1,2007,,340250,,
12,8,2007,,340000,,
12,15,2007,,344500,,
12,22,2007,,345250,,
12,29,2007,,349250,,
1,5,2008,,352750,,
1,12,2008,,345750,,
1,19,2008,,337250,,
1,26,2008,,338750,,
2,2,2008,,339750,,
2,9,2008,,345250,,
2,16,2008,,349750,,
2,23,2008,,346750,,
